Clock frequency is approx. 2394.7 MHz
Memory mountain (MB/sec)
	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	8968	3866	2351	1578	1264	1056	905	795	711	644	593	549	517	493	473	463	
64m	9001	3866	2352	1586	1267	1053	904	794	712	642	591	548	516	492	472	462	
32m	9032	3899	2364	1601	1263	1052	909	793	718	641	596	554	514	492	473	483	
16m	9071	4121	2432	1640	1304	1095	935	825	758	643	592	614	598	610	608	642	
8m	9101	6088	4053	2918	2257	1905	1206	1040	1357	1278	1233	1230	1243	1360	1411	1487	
4m	9231	8606	6845	5464	4446	3751	3197	2808	2609	2484	2396	2313	2299	2237	2266	2240	
2m	9582	8994	7204	5790	4682	3927	3362	2952	2718	2610	2525	2463	2422	2392	2366	2357	
1024k	9620	9052	7277	5832	4683	3932	3367	2952	2721	2604	2524	2466	2419	2395	2364	2360	
512k	9615	9054	7263	5839	4680	3919	3378	2955	2712	2599	2521	2459	2414	2391	2379	2373	
256k	9629	9102	7810	6625	5619	4859	4222	3675	3407	3323	3288	3299	3379	3559	3775	4215	
128k	9621	9085	8740	8406	8058	7524	6553	5736	5355	5308	5273	5330	5415	5478	5373	5246	
64k	9591	9107	8685	8415	8027	7453	6490	5655	5324	5234	5291	5280	7580	6727	6471	7031	
32k	9602	9545	9487	9357	9393	9261	9171	9080	9417	9215	8937	9420	9119	8594	9012	8912	
16k	9532	9490	9497	9402	9042	9143	8927	9017	9008	8673	8894	8525	8433	8849	8548	8002	
8k	9607	9447	9474	8701	9080	8998	8980	8490	7679	8601	7296	8042	7677	7404	8441	8105	
4k	9359	9234	9165	8755	7783	7954	7543	8172	7982	7571	7075	7893	6505	13907	7034	12157	
2k	9359	8596	8443	7284	7766	10123	7833	5816	5321	11647	6452	11840	10776	9978	10477	8780	
1k	9288	7852	7184	7284	11275	11135	5494	5089	8980	9065	9579	7526	7982	7384	5987	6585	
